author,comment,likes,published_at
@gardax61king,"Kpd Iran jgn ragu & takut terhadap ancaman AS dlm mnciptakn nuklir , klopn Iran d,larang dlm mnciptakn nuklir tp ut ap AS tdk ad larangan ut m,mbuat nuklir . Nah klo AS tdk m,lakukan it dlm pembuatan nuklir maka it br d,bilng adil.",0,2026-04-14T14:44:57Z
@gardax61king,"As terlalu percaya diri dgn m,mberi ancaman k,china & kmi yakin bhw s,kuku matipn china takkan pernah ragu & takut terhadap ancaman AS . Kmi rakyat indonesia m,mberi dukungan & super kpd china UT m,mberikn ancaman balik  Krn China TDK sndiri.",0,2026-04-14T14:38:01Z
@doyokaryanto3395,seru lah ayo sekalian perang nukrir biar tambah seru dan biar perang dunia3 kaya apa sih paling paling cuma sugesti doang,0,2026-04-14T14:29:52Z
@papasayang27,"Tidak akan lama donald dobol dajjal trump akan dilibas justru oleh warga nya sendiri, rakyat USA yg sdh muak dgn segala ulah zholim dan sepak terjang Sok-sok-an donald looser trump yg sdh menimbulkan krisis ekonomi di USA......!!!!!",0,2026-04-14T14:22:47Z
@samuji-wf5oz,Donal setres menang apanya as menangis,0,2026-04-14T13:47:17Z
@MisbahSholeh-k7p5s,Bravo iraaaaaaaan Allah Subhana wataallaa selalu bersama negara iraaaaaan dan Allah Subhana wataallaa selalu kasih keazaiban ke negara iraaaan dan kekuatan besar ke negara iraaaan dan kekuatan penuh ke negara iraaaan Aammiin allahumma Aamiin bravo iraaaaan ❤️❤️❤️,0,2026-04-14T13:42:36Z
@Suwandi-j4c,Tangkap Trump dan Netanyahu. Mereka perusak kedamaian dunia.. Ayo PBB keluarkan dekrit PBB. sekarang sebelum Amerika hancur seperti Israel.,0,2026-04-14T13:23:20Z
@widyomega4438,Congor trump itu busuk...hadapi iran aj terkencing2 kok mau lawan cina...,0,2026-04-14T13:05:01Z
@aninuraininurai8225,Trum ODGJ,0,2026-04-14T11:59:05Z
@aninuraininurai8225,Ya Allah lindungi Iran dan tentaranya,0,2026-04-14T11:56:54Z
@AnusBasEdan,Semoga rudal iran nyasar ke tarim biar gk ada lagi imigran yang mengaku cucu nabi di indonesia…,0,2026-04-14T11:52:01Z
@mursalmursal8577,Bravo...IRAN... Lanjutkan Tentara Zionis Israel usir yg ada di Plastina and Gaza. Rakyat Plastina and Gaza bersatu kompak dgan Hamas lawan Tentara Kependudukan Israel Babi. Inyah dr Plastina and Gaza. Aamii....n.❤,0,2026-04-14T11:51:40Z
@Alastogo,Si Donal cumak nakut nakuti,0,2026-04-14T11:49:24Z
@Kusmayadi70,Allahu Akbar maju terus pantang mundur Islam abad hancurkan semua negara Yahudi sampai akar2nya pantang negosiasi 💪💪💪,0,2026-04-14T11:31:53Z
@Syafrudin-r7g,"Iran sanggat berambisi punya nuklir, karna tidak mau di tekan ,tidak mau dilecehkan dan selalu di ancam ,jadi wajar Iran mau punya nuklir",0,2026-04-14T11:22:08Z
@muzakirmanaf5012,"IRAN HUJANI PENJAJAH BABI TRUMP AMERIKA DAN PENJAJAH ZIONIS IBLIS ISRAEL SETAN YAHOK LAKNATULLAH DENGAN RUDAL DAN DRONE JANGAN SAMPAI MENDARAT DI TANAH IRAN,, SUPAYA PENJAJAH BABI TRUMP JADI UMPAN HIU 💪💪",0,2026-04-14T10:36:05Z
@Katiri-o9q,"Aneh negara2 muslim malah diam tak mau membantu seperti negara2 arab..setanyahu sama donal bebek itu penjahat perang.ko malah mendukung seperti Indonesia. Saya bangga kepada negara Cina, Rusia,jg korut..walaupun bukan mayoritas muslim tapi mendukung perjuangan Iran. Negara Iran lah yg membantu Perjuangan rakyat Palestina.. bravo Iran..",0,2026-04-14T10:07:10Z
@AanHasanah-mt1st,"mantap Iran Lawan Donal bebek hadapi dengan gigih  bersatu dg sekutumu ,👍👍👍👍👍",0,2026-04-14T08:45:26Z
@mrpeaceworld,"""Kalau AS blokir Hormuz, itu artinya mereka bertindak seperti PENJAJAH & BEGAL LAUT YANG SERAKAH! 🦜💰

Mereka cuma TAKUT & IRI karena Iran bisa jual minyak ke seluruh dunia, makanya mereka coba HENTIKAN pake KEKERASAN! ⛔⚓

Ini murni TERORISME & PERAMPOKAN JALANAN!"" 🗡️🛣️ 😂😂😂😂😂",0,2026-04-14T08:28:01Z
@Gundala-k9c,Mana bisa speedboat2 iran bisa menenggelamkan atau mengusir armada kapal induk mutakhir AS...haluuu banget beritanya..hanya orang bodoh yg percaya,0,2026-04-14T07:36:42Z
@SamsungBekas-hc9kk,DONALT TRUM  TIDAK WARAS,0,2026-04-14T07:06:30Z
@hurbibob6484,Ya memang tolol ngapain ngurusi rumah tangga orrang lain,0,2026-04-14T06:51:29Z
@KenKen-y3x,Mangnya laut it punyanya AS ap' ap' GK blh,0,2026-04-14T06:20:55Z
@yulimardiana2941,Dunia sudah mengetahui bahwa ameka israel pembohong iran negara tak pernah menjajah negara lain senjata yg dibuat iran untuk membela diri dan menentang pejajahan,0,2026-04-14T05:49:32Z
@yulimardiana2941,Amerika sewenangnya membuat perdamaian soal nouklir contoh ya irak sadam husen diserang mana ada senjata nouklir sampai sekang amerika pembohong,0,2026-04-14T05:46:07Z
@liyo-ut8jt,Mana Hamas kok diam,0,2026-04-14T05:25:31Z
@UjangRahmat-mx9bz,Hajar ayoo iran...AS mnusia pengecut..lewat hncurkn saja..!!,0,2026-04-14T05:14:48Z
@ZikriKantor,Iran penakut knp gk langsung tembak ajh,0,2026-04-14T04:58:21Z
@YanaTaryana-t7u,Yahudi dasar picik ....,0,2026-04-14T04:53:50Z
@AkunSementara-e4g,❤❤❤❤,0,2026-04-14T04:28:51Z
@AkunSementara-e4g,❤❤❤❤,0,2026-04-14T04:28:22Z
@AkunSementara-e4g,❤❤❤,0,2026-04-14T04:27:55Z
@sukamasak6078,Konoha brla iran matimatian 2 kapal pertamina saja blm bs lepas dasar mabuk da agama,0,2026-04-14T04:13:57Z
@tonisukarjo5363,China rusia harus membantu iran menghancurkan dan menenggelamkan kapal-kapal perang Amerika Serikat di selat Hormuz..,2,2026-04-14T03:53:43Z
@tgx6962,"Pikiran DONAL BEBEK
DUNIA INI MILIKNYA PRIBADI 🤣🤣🤣😂",0,2026-04-14T03:49:30Z
@auraantaqila-on4qw,"org yg panik,resah bisanya hyy mengancam",0,2026-04-14T03:44:08Z
@alansadewa,"Para suhu... bebek itu di 54nt3t  saja dengan itu satu si tahu itu 54nt3t saja.biar dunia tentram,jika dua orang ini tiada lagi dunia bisa tentram damai.",0,2026-04-14T03:41:15Z
@Arsy-p5x,"Itu selat hormz kan masuk wilayah Persia 🇮🇷🇮🇷🇮🇷 
 Donald bebek 🇱🇷 dan sekutunya 🤣 asli sakit jiwa..
Malah nantangin CHINA dgn mencegat kapal nya keluar H0RMZ",0,2026-04-14T03:10:08Z
@bsarjuno899,Trump ini manusia gk punya malu,0,2026-04-14T03:03:15Z
@RodiahTobri,Merakaa bkn rsk dunia basmi dnl be2k dan sinyahu,0,2026-04-14T02:42:42Z
