comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
"baru 2 bln dunia di embargo sdh panik, bagaimana dgn iran 40 tahun, embargo adalah kejahatan terhadap kelangsungan hidup byk org, trump dan Israel penjahat perang dunia harus tegas menghukum",baru  bln dunia di embargo sdh panik bagaimana dgn iran  tahun embargo adalah kejahatan terhadap kelangsungan hidup byk org trump dan Israel penjahat perang dunia harus tegas menghukum,baru  bln dunia di embargo sdh panik bagaimana dgn iran  tahun embargo adalah kejahatan terhadap kelangsungan hidup byk org trump dan israel penjahat perang dunia harus tegas menghukum,baru bulan dunia di embargo sudah panik bagaimana dengan iran tahun embargo adalah kejahatan terhadap kelangsungan hidup banyak orang trump dan israel penjahat perang dunia harus tegas menghukum,"['baru', 'bulan', 'dunia', 'di', 'embargo', 'sudah', 'panik', 'bagaimana', 'dengan', 'iran', 'tahun', 'embargo', 'adalah', 'kejahatan', 'terhadap', 'kelangsungan', 'hidup', 'banyak', 'orang', 'trump', 'dan', 'israel', 'penjahat', 'perang', 'dunia', 'harus', 'tegas', 'menghukum']",dunia embargo panik iran embargo kejahatan kelangsungan hidup trump israel penjahat perang dunia menghukum
Dasar isriwil pengecut braninya tembaki rkyt kecil palestina .. Iran harus bantai rkyt isriwil .,Dasar isriwil pengecut braninya tembaki rkyt kecil palestina  Iran harus bantai rkyt isriwil ,dasar isriwil pengecut braninya tembaki rkyt kecil palestina  iran harus bantai rkyt isriwil ,dasar isriwil pengecut braninya tembaki rkyt kecil palestina iran harus bantai rkyt isriwil,"['dasar', 'isriwil', 'pengecut', 'braninya', 'tembaki', 'rkyt', 'kecil', 'palestina', 'iran', 'harus', 'bantai', 'rkyt', 'isriwil']",dasar isriwil pengecut braninya tembaki rkyt palestina iran bantai rkyt isriwil
"Ayoo.. IRAN, CHINA TUNJUKKAN SRIGALA ASIA.. LAWAN AS &,  ISRAEL.. TERORIS DUNIA,..MEREKA IBLIS BERWUJUD MANUSIA..",Ayoo IRAN CHINA TUNJUKKAN SRIGALA ASIA LAWAN AS   ISRAEL TERORIS DUNIAMEREKA IBLIS BERWUJUD MANUSIA,ayoo iran china tunjukkan srigala asia lawan as   israel teroris duniamereka iblis berwujud manusia,ayo iran china tunjukkan srigala asia lawan as israel teroris duniamereka iblis berwujud manusia,"['ayo', 'iran', 'china', 'tunjukkan', 'srigala', 'asia', 'lawan', 'as', 'israel', 'teroris', 'duniamereka', 'iblis', 'berwujud', 'manusia']",ayo iran china tunjukkan srigala asia lawan amerika serikat israel teroris duniamereka iblis berwujud manusia
Donol dh pikun klituh,Donol dh pikun klituh,donol dh pikun klituh,donol dah pikun klituh,"['donol', 'dah', 'pikun', 'klituh']",donol dah pikun klituh
berita hoax,berita hoax,berita hoax,berita hoax,"['berita', 'hoax']",berita hoax
DHarus nya di hancur kan Israel kafir itu hancurkan Allah disamping kita,DHarus nya di hancur kan Israel kafir itu hancurkan Allah disamping kita,dharus nya di hancur kan israel kafir itu hancurkan allah disamping kita,dharus ya di hancur kan israel kafir itu hancurkan allah disamping kita,"['dharus', 'ya', 'di', 'hancur', 'kan', 'israel', 'kafir', 'itu', 'hancurkan', 'allah', 'disamping', 'kita']",dharus hancur israel kafir hancurkan allah disamping
"Iblis tram omon2 semua dijadikan musuh termasuk paus Paulus pimpinan agama di tram tdk beragama tdk bertuhan berani melawan pimpinan agama, iran saja menghormati paus paulus, tram benar2 iblis laknat, sebentar lagi tram di penjara tdk lama setelah iran manang perang",Iblis tram omon semua dijadikan musuh termasuk paus Paulus pimpinan agama di tram tdk beragama tdk bertuhan berani melawan pimpinan agama iran saja menghormati paus paulus tram benar iblis laknat sebentar lagi tram di penjara tdk lama setelah iran manang perang,iblis tram omon semua dijadikan musuh termasuk paus paulus pimpinan agama di tram tdk beragama tdk bertuhan berani melawan pimpinan agama iran saja menghormati paus paulus tram benar iblis laknat sebentar lagi tram di penjara tdk lama setelah iran manang perang,iblis tram omon semua dijadikan musuh termasuk paus paulus pimpinan agama di tram tidak beragama tidak bertuhan berani melawan pimpinan agama iran saja menghormati paus paulus tram benar iblis laknat sebentar lagi tram di penjara tidak lama setelah iran manang perang,"['iblis', 'tram', 'omon', 'semua', 'dijadikan', 'musuh', 'termasuk', 'paus', 'paulus', 'pimpinan', 'agama', 'di', 'tram', 'tidak', 'beragama', 'tidak', 'bertuhan', 'berani', 'melawan', 'pimpinan', 'agama', 'iran', 'saja', 'menghormati', 'paus', 'paulus', 'tram', 'benar', 'iblis', 'laknat', 'sebentar', 'lagi', 'tram', 'di', 'penjara', 'tidak', 'lama', 'setelah', 'iran', 'manang', 'perang']",iblis trump omon dijadikan musuh paus paulus pimpinan agama trump beragama bertuhan berani melawan pimpinan agama iran menghormati paus paulus trump iblis laknat sebentar trump penjara iran manang perang
Trump salahselat hormus kan wilayah Iran  A S sudah mau merampas hak orang bodoh SE x kau Trump,Trump salahselat hormus kan wilayah Iran  A S sudah mau merampas hak orang bodoh SE x kau Trump,trump salahselat hormus kan wilayah iran  a s sudah mau merampas hak orang bodoh se x kau trump,trump salahselat hormus kan wilayah iran a si sudah mau merampas hak orang bodoh se kali kau trump,"['trump', 'salahselat', 'hormus', 'kan', 'wilayah', 'iran', 'a', 'si', 'sudah', 'mau', 'merampas', 'hak', 'orang', 'bodoh', 'se', 'kali', 'kau', 'trump']",trump salahselat hormuz wilayah iran a si merampas hak bodoh kali kau trump
Cina termasuk negara yg bodoh  sabar itu perlu tapi harga diri negara lebih utama 😂😂😂😂bodoh,Cina termasuk negara yg bodoh  sabar itu perlu tapi harga diri negara lebih utama bodoh,cina termasuk negara yg bodoh  sabar itu perlu tapi harga diri negara lebih utama bodoh,cina termasuk negara yang bodoh sabar itu perlu tapi harga diri negara lebih utama bodoh,"['cina', 'termasuk', 'negara', 'yang', 'bodoh', 'sabar', 'itu', 'perlu', 'tapi', 'harga', 'diri', 'negara', 'lebih', 'utama', 'bodoh']",cina negara bodoh sabar harga negara utama bodoh
😂😂😂😂😂 kalau presiden Amerika naik tarif pajak negara negara bodoh diam😂😂😂😂Iran nutup selat hormus😂😂😂 negara negara bodoh gak terima 😂😂😂 negara bodoh mau di injak sama negara adidaya 😂😂😂, kalau presiden Amerika naik tarif pajak negara negara bodoh diamIran nutup selat hormus negara negara bodoh gak terima  negara bodoh mau di injak sama negara adidaya , kalau presiden amerika naik tarif pajak negara negara bodoh diamiran nutup selat hormus negara negara bodoh gak terima  negara bodoh mau di injak sama negara adidaya ,kalau presiden amerika naik tarif pajak negara negara bodoh diamiran nutup selat hormus negara negara bodoh tidak terima negara bodoh mau di injak sama negara adidaya,"['kalau', 'presiden', 'amerika', 'naik', 'tarif', 'pajak', 'negara', 'negara', 'bodoh', 'diamiran', 'nutup', 'selat', 'hormus', 'negara', 'negara', 'bodoh', 'tidak', 'terima', 'negara', 'bodoh', 'mau', 'di', 'injak', 'sama', 'negara', 'adidaya']",presiden amerika tarif pajak negara negara bodoh diamiran nutup selat hormuz negara negara bodoh terima negara bodoh injak negara adidaya
"Bodoh nya ,negara2 jajirah Srsb yang mau ngasih pangkalan militer ke AS",Bodoh nya negara jajirah Srsb yang mau ngasih pangkalan militer ke AS,bodoh nya negara jajirah srsb yang mau ngasih pangkalan militer ke as,bodoh ya negara jajirah srsb yang mau mengasih pangkalan militer ke as,"['bodoh', 'ya', 'negara', 'jajirah', 'srsb', 'yang', 'mau', 'mengasih', 'pangkalan', 'militer', 'ke', 'as']",bodoh negara jajirah srsb mengasih pangkalan militer amerika serikat
"Jan takuik Jo gertak gaek tuo  tu Cino.., kirim taruih bantuan sanjato tu ke IRAN , gaek Trump tu kini lah ciek² angoknyo kini",Jan takuik Jo gertak gaek tuo  tu Cino kirim taruih bantuan sanjato tu ke IRAN  gaek Trump tu kini lah ciek angoknyo kini,jan takuik jo gertak gaek tuo  tu cino kirim taruih bantuan sanjato tu ke iran  gaek trump tu kini lah ciek angoknyo kini,jangan takuik jo gertak gaek tuo itu cina kirim taruih bantuan sanjato itu ke iran gaek trump itu kini lah ciek angoknyo kini,"['jangan', 'takuik', 'jo', 'gertak', 'gaek', 'tuo', 'itu', 'cina', 'kirim', 'taruih', 'bantuan', 'sanjato', 'itu', 'ke', 'iran', 'gaek', 'trump', 'itu', 'kini', 'lah', 'ciek', 'angoknyo', 'kini']",takuik jo gertak gaek tuo cina kirim taruih bantuan sanjato iran gaek trump ciek angoknyo
Semoga Iran ratakan israel,Semoga Iran ratakan israel,semoga iran ratakan israel,semoga iran ratakan israel,"['semoga', 'iran', 'ratakan', 'israel']",semoga iran ratakan israel
Tentara Israel pengecut beraninya sama rakyat kecil dan ibu,Tentara Israel pengecut beraninya sama rakyat kecil dan ibu,tentara israel pengecut beraninya sama rakyat kecil dan ibu,tentara israel pengecut beraninya sama rakyat kecil dan ibu,"['tentara', 'israel', 'pengecut', 'beraninya', 'sama', 'rakyat', 'kecil', 'dan', 'ibu']",tentara israel pengecut beraninya rakyat
Trump bilang perang sudah menang lawan Iran kata Trump memang udah gak waras Trump masukin rumah sakit jiwa Trump yg benar,Trump bilang perang sudah menang lawan Iran kata Trump memang udah gak waras Trump masukin rumah sakit jiwa Trump yg benar,trump bilang perang sudah menang lawan iran kata trump memang udah gak waras trump masukin rumah sakit jiwa trump yg benar,trump bilang perang sudah menang lawan iran kata trump memang sudah tidak waras trump memasuki rumah sakit jiwa trump yang benar,"['trump', 'bilang', 'perang', 'sudah', 'menang', 'lawan', 'iran', 'kata', 'trump', 'memang', 'sudah', 'tidak', 'waras', 'trump', 'memasuki', 'rumah', 'sakit', 'jiwa', 'trump', 'yang', 'benar']",trump bilang perang menang lawan iran trump waras trump memasuki rumah sakit jiwa trump
"Donal.trump sok KUASA,, sok""an ngatur"" PADA NEGARA"" lain ,PADAHAL ATURAN Donaltrump sendiri terancam Di makzulkan,,tpi sombong nya Masih meninggi, COCOK  banget bila trump Di penjara ,",Donaltrump sok KUASA sokan ngatur PADA NEGARA lain PADAHAL ATURAN Donaltrump sendiri terancam Di makzulkantpi sombong nya Masih meninggi COCOK  banget bila trump Di penjara ,donaltrump sok kuasa sokan ngatur pada negara lain padahal aturan donaltrump sendiri terancam di makzulkantpi sombong nya masih meninggi cocok  banget bila trump di penjara ,donaltrump sok kuasa sokan mengatur pada negara lain padahal aturan donaltrump sendiri terancam di makzulkantpi sombong ya masih meninggi cocok banget bila trump di penjara,"['donaltrump', 'sok', 'kuasa', 'sokan', 'mengatur', 'pada', 'negara', 'lain', 'padahal', 'aturan', 'donaltrump', 'sendiri', 'terancam', 'di', 'makzulkantpi', 'sombong', 'ya', 'masih', 'meninggi', 'cocok', 'banget', 'bila', 'trump', 'di', 'penjara']",donaltrump sok kuasa sokan mengatur negara aturan donaltrump terancam makzulkantpi sombong meninggi cocok banget trump penjara
Bravo Iran ❤❤❤,Bravo Iran ,bravo iran ,bravo iran,"['bravo', 'iran']",bravo iran
Goblog dia israel penjaja. InsyaAllah  kamu hancur,Goblog dia israel penjaja InsyaAllah  kamu hancur,goblog dia israel penjaja insyaallah  kamu hancur,goblog dia israel penjaja insyaallah kamu hancur,"['goblog', 'dia', 'israel', 'penjaja', 'insyaallah', 'kamu', 'hancur']",goblog israel penjaja insyaallah hancur
Donald bebek sangat serakah,Donald bebek sangat serakah,donald bebek sangat serakah,donald bebek sangat serakah,"['donald', 'bebek', 'sangat', 'serakah']",donald bebek serakah
Ayolah IRAN Tolonglah orang sipil Palestina yang ditembaki orang zionis Israel Dan Semoga dengan RUDALMU yang bisa menyelesaikan persoalan-persoalan ini 👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴👍🇮🇷🇯🇴😊😊😊😊😊,Ayolah IRAN Tolonglah orang sipil Palestina yang ditembaki orang zionis Israel Dan Semoga dengan RUDALMU yang bisa menyelesaikan persoalanpersoalan ini ,ayolah iran tolonglah orang sipil palestina yang ditembaki orang zionis israel dan semoga dengan rudalmu yang bisa menyelesaikan persoalanpersoalan ini ,ayolah iran tolonglah orang sipil palestina yang ditembaki orang zionis israel dan semoga dengan rudalmu yang bisa menyelesaikan persoalanpersoalan ini,"['ayolah', 'iran', 'tolonglah', 'orang', 'sipil', 'palestina', 'yang', 'ditembaki', 'orang', 'zionis', 'israel', 'dan', 'semoga', 'dengan', 'rudalmu', 'yang', 'bisa', 'menyelesaikan', 'persoalanpersoalan', 'ini']",ayolah iran tolonglah sipil palestina ditembaki zionis israel semoga rudalmu menyelesaikan persoalanpersoalan
"Ini PBB tiada memang gunanya,""PBB bukan untuk semua negara,tapi untuk Israel seja sama America,bagus tidak paya ada namnya PBB bikin kotor seja negara,",Ini PBB tiada memang gunanyaPBB bukan untuk semua negaratapi untuk Israel seja sama Americabagus tidak paya ada namnya PBB bikin kotor seja negara,ini pbb tiada memang gunanyapbb bukan untuk semua negaratapi untuk israel seja sama americabagus tidak paya ada namnya pbb bikin kotor seja negara,ini pbb tiada memang gunanyapbb bukan untuk semua negaratapi untuk israel seja sama americabagus tidak paya ada namanya pbb bikin kotor seja negara,"['ini', 'pbb', 'tiada', 'memang', 'gunanyapbb', 'bukan', 'untuk', 'semua', 'negaratapi', 'untuk', 'israel', 'seja', 'sama', 'americabagus', 'tidak', 'paya', 'ada', 'namanya', 'pbb', 'bikin', 'kotor', 'seja', 'negara']",pbb tiada gunanyapbb negaratapi israel seja americabagus paya namanya pbb bikin kotor seja negara
MANTAP KALAU IRAN INGIN MENYABOTASE EKONOMI AMERIKA SERIKAT BANGKRUT TINGGAL MENUTUP SELAT HORMUZ  BERES KHUSUS PENDUKUNG AS ISRAEL HARUS DITENGGELAMKAN.     😊😊😊😊😊😊😊😊😊😊 BRAVO IRAN DAN CHINA 👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷👍🇨🇳🇮🇷,MANTAP KALAU IRAN INGIN MENYABOTASE EKONOMI AMERIKA SERIKAT BANGKRUT TINGGAL MENUTUP SELAT HORMUZ  BERES KHUSUS PENDUKUNG AS ISRAEL HARUS DITENGGELAMKAN      BRAVO IRAN DAN CHINA ,mantap kalau iran ingin menyabotase ekonomi amerika serikat bangkrut tinggal menutup selat hormuz  beres khusus pendukung as israel harus ditenggelamkan      bravo iran dan china ,mantap kalau iran ingin menyabotase ekonomi amerika serikat bangkrut tinggal menutup selat hormuz beres khusus pendukung as israel harus ditenggelamkan bravo iran dan china,"['mantap', 'kalau', 'iran', 'ingin', 'menyabotase', 'ekonomi', 'amerika', 'serikat', 'bangkrut', 'tinggal', 'menutup', 'selat', 'hormuz', 'beres', 'khusus', 'pendukung', 'as', 'israel', 'harus', 'ditenggelamkan', 'bravo', 'iran', 'dan', 'china']",mantap iran menyabotase ekonomi amerika serikat bangkrut tinggal menutup selat hormuz beres khusus pendukung amerika serikat israel ditenggelamkan bravo iran china
Tutup selamanya buat ISRAEL !!!!!!!,Tutup selamanya buat ISRAEL ,tutup selamanya buat israel ,tutup selamanya buat israel,"['tutup', 'selamanya', 'buat', 'israel']",tutup israel
Org gila merasa menang,Org gila merasa menang,org gila merasa menang,orang gila merasa menang,"['orang', 'gila', 'merasa', 'menang']",gila menang
IRAN TERUSLAH PERCEPAT SENJATA NUKLIR UNTUK JIHAD,IRAN TERUSLAH PERCEPAT SENJATA NUKLIR UNTUK JIHAD,iran teruslah percepat senjata nuklir untuk jihad,iran teruslah percepat senjata nuklir untuk jihad,"['iran', 'teruslah', 'percepat', 'senjata', 'nuklir', 'untuk', 'jihad']",iran teruslah percepat senjata nuklir jihad
Apakah Amerika tidak perna memasokan sejata ke Ukraina perang  dengan rusia,Apakah Amerika tidak perna memasokan sejata ke Ukraina perang  dengan rusia,apakah amerika tidak perna memasokan sejata ke ukraina perang  dengan rusia,apakah amerika tidak pernah memasokan sejata ke ukraina perang dengan rusia,"['apakah', 'amerika', 'tidak', 'pernah', 'memasokan', 'sejata', 'ke', 'ukraina', 'perang', 'dengan', 'rusia']",amerika memasokan sejata ukraina perang rusia
Terus berjuang Iran ❤❤❤,Terus berjuang Iran ,terus berjuang iran ,terus berjuang iran,"['terus', 'berjuang', 'iran']",berjuang iran
"Dimana² dunia mengecam tindakan memerika dangan si rewel lha.... Indonesia malah melanjutkan kerjasama latihan Garuda Shield.....  Potensi ruang udara Indonesia digunakan.....

hebat hebat... Jadi malu rasanya","Dimana dunia mengecam tindakan memerika dangan si rewel lha Indonesia malah melanjutkan kerjasama latihan Garuda Shield  Potensi ruang udara Indonesia digunakan

hebat hebat Jadi malu rasanya","dimana dunia mengecam tindakan memerika dangan si rewel lha indonesia malah melanjutkan kerjasama latihan garuda shield  potensi ruang udara indonesia digunakan

hebat hebat jadi malu rasanya",dimana dunia mengecam tindakan memerika dangan sih rewel lah indonesia malah melanjutkan kerjasama latihan garuda shield potensi ruang udara indonesia digunakan hebat hebat jadi malu rasanya,"['dimana', 'dunia', 'mengecam', 'tindakan', 'memerika', 'dangan', 'sih', 'rewel', 'lah', 'indonesia', 'malah', 'melanjutkan', 'kerjasama', 'latihan', 'garuda', 'shield', 'potensi', 'ruang', 'udara', 'indonesia', 'digunakan', 'hebat', 'hebat', 'jadi', 'malu', 'rasanya']",dimana dunia mengecam tindakan memerika dangan rewel indonesia melanjutkan kerjasama latihan garuda shield potensi ruang udara indonesia hebat hebat malu
"Salut buat IRAN, tidak biarkan amerika cs berbuat semaunya di timur tengah.",Salut buat IRAN tidak biarkan amerika cs berbuat semaunya di timur tengah,salut buat iran tidak biarkan amerika cs berbuat semaunya di timur tengah,salut buat iran tidak biarkan amerika cs berbuat semaunya di timur tengah,"['salut', 'buat', 'iran', 'tidak', 'biarkan', 'amerika', 'cs', 'berbuat', 'semaunya', 'di', 'timur', 'tengah']",salut iran biarkan amerika berbuat timur
"As sudah tidak punya wibawa dan kekuatan militer lg, banyak pangkalan militer, Alut sista, pers hancur lebur. Kalau saja rudal Iran sampai As pasti As sudah hancur lebur seperti Israel",As sudah tidak punya wibawa dan kekuatan militer lg banyak pangkalan militer Alut sista pers hancur lebur Kalau saja rudal Iran sampai As pasti As sudah hancur lebur seperti Israel,as sudah tidak punya wibawa dan kekuatan militer lg banyak pangkalan militer alut sista pers hancur lebur kalau saja rudal iran sampai as pasti as sudah hancur lebur seperti israel,as sudah tidak punya wibawa dan kekuatan militer lagi banyak pangkalan militer alut sista pers hancur lebur kalau saja rudal iran sampai as pasti as sudah hancur lebur seperti israel,"['as', 'sudah', 'tidak', 'punya', 'wibawa', 'dan', 'kekuatan', 'militer', 'lagi', 'banyak', 'pangkalan', 'militer', 'alut', 'sista', 'pers', 'hancur', 'lebur', 'kalau', 'saja', 'rudal', 'iran', 'sampai', 'as', 'pasti', 'as', 'sudah', 'hancur', 'lebur', 'seperti', 'israel']",amerika serikat wibawa kekuatan militer pangkalan militer alut sista pers hancur lebur rudal iran amerika serikat amerika serikat hancur lebur israel
Bagaimana kalau Asengsmbil Emas dari Papua Naikan tarif pajak 1000 %. Apakah RI setuju atau menteri atau pejabat tertentu setuju.,Bagaimana kalau Asengsmbil Emas dari Papua Naikan tarif pajak   Apakah RI setuju atau menteri atau pejabat tertentu setuju,bagaimana kalau asengsmbil emas dari papua naikan tarif pajak   apakah ri setuju atau menteri atau pejabat tertentu setuju,bagaimana kalau asengsmbil emas dari papua naikan tarif pajak apakah ri setuju atau menteri atau pejabat tertentu setuju,"['bagaimana', 'kalau', 'asengsmbil', 'emas', 'dari', 'papua', 'naikan', 'tarif', 'pajak', 'apakah', 'ri', 'setuju', 'atau', 'menteri', 'atau', 'pejabat', 'tertentu', 'setuju']",asengsmbil emas papua naikan tarif pajak ri setuju menteri pejabat setuju
"As sudah menaikan tarif kepada dunia jauh sebelum perang dengan Iran. Dunia global diam saja dan mau membayar mahal. Giliran Iran menerapkan agar yang lewat Hormuze membayar, As tidak terima  Dunia berteriak. Coba kalau Hormuze ada di Israel atau As. Sudah dari dulu setiap yang lewat suruh bayar.",As sudah menaikan tarif kepada dunia jauh sebelum perang dengan Iran Dunia global diam saja dan mau membayar mahal Giliran Iran menerapkan agar yang lewat Hormuze membayar As tidak terima  Dunia berteriak Coba kalau Hormuze ada di Israel atau As Sudah dari dulu setiap yang lewat suruh bayar,as sudah menaikan tarif kepada dunia jauh sebelum perang dengan iran dunia global diam saja dan mau membayar mahal giliran iran menerapkan agar yang lewat hormuze membayar as tidak terima  dunia berteriak coba kalau hormuze ada di israel atau as sudah dari dulu setiap yang lewat suruh bayar,as sudah menaikan tarif kepada dunia jauh sebelum perang dengan iran dunia global diam saja dan mau membayar mahal giliran iran menerapkan agar yang lewat hormuze membayar as tidak terima dunia berteriak coba kalau hormuze ada di israel atau as sudah dari dulu setiap yang lewat suruh bayar,"['as', 'sudah', 'menaikan', 'tarif', 'kepada', 'dunia', 'jauh', 'sebelum', 'perang', 'dengan', 'iran', 'dunia', 'global', 'diam', 'saja', 'dan', 'mau', 'membayar', 'mahal', 'giliran', 'iran', 'menerapkan', 'agar', 'yang', 'lewat', 'hormuze', 'membayar', 'as', 'tidak', 'terima', 'dunia', 'berteriak', 'coba', 'kalau', 'hormuze', 'ada', 'di', 'israel', 'atau', 'as', 'sudah', 'dari', 'dulu', 'setiap', 'yang', 'lewat', 'suruh', 'bayar']",amerika serikat menaikan tarif dunia perang iran dunia global diam membayar mahal giliran iran menerapkan hormuze membayar amerika serikat terima dunia berteriak coba hormuze israel amerika serikat suruh bayar
